GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sprint_4,default,Account,0,23,0,4,0,6,0,4,0,2
sprint_4,default,Praktikum,58,0,0,0,14,0,2,0,2,0
